"Item_ID";"menu_item_ID";"quantity"
"1";"1";"7"
"2";"2";"6"
"3";"3";"9"
"4";"4";"7"
"5";"5";"2"
"6";"6";"1"
"7";"7";"3"
"8";"8";"4"
"9";"9";"4"
"10";"10";"9"
"11";"11";"7"
"12";"12";"1"
"13";"13";"3"
"14";"14";"5"
"15";"15";"1"
"16";"16";"10"
"17";"17";"6"
"18";"18";"9"
"19";"19";"6"
"20";"20";"8"
"21";"21";"8"
"22";"22";"6"
"23";"23";"1"
"24";"24";"6"
"25";"25";"1"
"26";"26";"0"
"27";"27";"8"
"28";"28";"6"
"29";"29";"6"
"30";"30";"8"
"31";"31";"8"
"32";"32";"9"
"33";"33";"1"
"34";"34";"10"
"35";"35";"4"
"36";"36";"6"
"37";"37";"10"
"38";"38";"0"
"39";"39";"8"
"40";"40";"3"
"41";"41";"0"
"42";"42";"7"
"43";"43";"4"
"44";"44";"2"
"45";"45";"10"
"46";"46";"6"
"47";"47";"7"
"48";"48";"6"
"49";"49";"1"
"50";"50";"7"
"51";"51";"8"
"52";"52";"8"
"53";"53";"3"
"54";"54";"8"
"55";"55";"0"
"56";"56";"2"
"57";"57";"3"
"58";"58";"2"
"59";"59";"4"
"60";"60";"4"
"61";"61";"4"
"62";"62";"5"
"63";"63";"10"
"64";"64";"0"
"65";"65";"5"
"66";"66";"10"
"67";"67";"1"
"68";"68";"0"
"69";"69";"3"
"70";"70";"9"
"71";"71";"4"
"72";"72";"7"
"73";"73";"4"
"74";"74";"6"
"75";"75";"6"
"76";"76";"7"
"77";"77";"3"
"78";"78";"8"
"79";"79";"7"
"80";"80";"3"
"81";"81";"1"
"82";"82";"4"
"83";"83";"2"
"84";"84";"4"
"85";"85";"5"
"86";"86";"2"
"87";"87";"10"
"88";"88";"2"
"89";"89";"10"
"90";"90";"5"
"91";"91";"9"
"92";"92";"6"
"93";"93";"1"
"94";"94";"3"
"95";"95";"7"
"96";"96";"5"
"97";"97";"2"
"98";"98";"0"
"99";"99";"10"
"100";"100";"3"
"101";"101";"2"
"102";"102";"8"
"103";"103";"1"
"104";"104";"0"
"105";"105";"0"
"106";"106";"9"
"107";"107";"4"
"108";"108";"0"
"109";"109";"6"
"110";"110";"8"
"111";"111";"9"
"112";"112";"8"
"113";"113";"4"
"114";"114";"0"
"115";"115";"5"
"116";"116";"8"
"117";"117";"1"
"118";"118";"10"
"119";"119";"1"
"120";"120";"6"
"121";"121";"9"
"122";"122";"7"
"123";"123";"3"
"124";"124";"0"
"125";"125";"1"
"126";"126";"8"
