"storage_item_ID";"employee_id";"date";"element_quantity";"total";"type_ID"
"1";"1";"2024_06_04";"658";"28476";"1"
"2";"2";"2024_06_04";"510";"33108";"2"
"3";"3";"2024_06_04";"812";"90816";"1"
"4";"4";"2024_06_04";"852";"43043";"1"
"5";"5";"2024_06_04";"976";"63596";"1"
"6";"6";"2024_06_04";"784";"94215";"1"
"7";"7";"2024_06_04";"885";"22206";"1"
"8";"8";"2024_06_04";"852";"89186";"0"
"9";"9";"2024_06_04";"446";"61777";"0"
"10";"10";"2024_06_04";"16";"76159";"1"
"11";"11";"2024_06_04";"527";"24602";"2"
"12";"12";"2024_06_04";"517";"10218";"0"
"13";"13";"2024_06_04";"31";"90543";"1"
"14";"14";"2024_06_04";"804";"37193";"0"
"15";"15";"2024_06_04";"168";"75950";"0"
"16";"16";"2024_06_04";"196";"21511";"1"
"17";"17";"2024_06_04";"597";"21952";"0"
"18";"18";"2024_06_04";"802";"46398";"2"
"19";"19";"2024_06_04";"496";"40018";"1"
"20";"20";"2024_06_04";"216";"44089";"0"
"21";"21";"2024_06_04";"18";"64248";"1"
"22";"22";"2024_06_04";"373";"70536";"1"
"23";"23";"2024_06_04";"957";"97276";"0"
"24";"24";"2024_06_04";"942";"9109";"2"
"25";"25";"2024_06_04";"273";"57372";"0"
"26";"26";"2024_06_04";"491";"36535";"1"
"27";"27";"2024_06_04";"977";"84196";"1"
"28";"28";"2024_06_04";"6";"31618";"1"
"29";"29";"2024_06_04";"54";"25828";"0"
"30";"30";"2024_06_04";"375";"40346";"1"
"31";"31";"2024_06_04";"374";"20756";"2"
"32";"32";"2024_06_04";"360";"86655";"2"
"33";"33";"2024_06_04";"877";"6795";"0"
"34";"34";"2024_06_04";"54";"3348";"2"
"35";"35";"2024_06_04";"48";"44931";"1"
"36";"36";"2024_06_04";"33";"60715";"1"
"37";"37";"2024_06_04";"281";"13796";"0"
"38";"38";"2024_06_04";"149";"44519";"2"
"39";"39";"2024_06_04";"935";"32986";"0"
"40";"40";"2024_06_04";"643";"5260";"0"
"41";"41";"2024_06_04";"681";"50097";"1"
"42";"42";"2024_06_04";"776";"36509";"2"
"43";"43";"2024_06_04";"657";"64220";"0"
"44";"44";"2024_06_04";"931";"87030";"2"
"45";"45";"2024_06_04";"520";"93308";"2"
"46";"46";"2024_06_04";"683";"63527";"2"
"47";"47";"2024_06_04";"743";"95026";"1"
"48";"48";"2024_06_04";"797";"45883";"2"
"49";"49";"2024_06_04";"489";"89903";"0"
"50";"50";"2024_06_04";"141";"19862";"1"
"51";"51";"2024_06_04";"355";"9357";"1"
"52";"52";"2024_06_04";"316";"12023";"0"
"53";"53";"2024_06_04";"169";"60068";"1"
"54";"54";"2024_06_04";"657";"59569";"1"
"55";"55";"2024_06_04";"151";"93922";"0"
"56";"56";"2024_06_04";"3";"32388";"1"
"57";"57";"2024_06_04";"781";"2197";"2"
"58";"58";"2024_06_04";"787";"22807";"1"
"59";"59";"2024_06_04";"784";"66891";"0"
"60";"60";"2024_06_04";"100";"98633";"2"
"61";"61";"2024_06_04";"647";"13603";"1"
"62";"62";"2024_06_04";"24";"58663";"1"
"63";"63";"2024_06_04";"196";"91652";"2"
"64";"64";"2024_06_04";"490";"48656";"2"
"65";"65";"2024_06_04";"870";"41647";"2"
"66";"66";"2024_06_04";"794";"16093";"2"
"67";"67";"2024_06_04";"625";"84134";"2"
"68";"68";"2024_06_04";"535";"74812";"1"
"69";"69";"2024_06_04";"78";"29889";"0"
"70";"70";"2024_06_04";"814";"8171";"0"
"71";"71";"2024_06_04";"760";"92820";"0"
"72";"72";"2024_06_04";"112";"37230";"1"
"73";"73";"2024_06_04";"777";"65765";"1"
"74";"74";"2024_06_04";"395";"75432";"1"
"75";"75";"2024_06_04";"288";"62787";"0"
"76";"76";"2024_06_04";"63";"45266";"2"
"77";"77";"2024_06_04";"465";"32153";"1"
"78";"78";"2024_06_04";"189";"29262";"2"
"79";"79";"2024_06_04";"490";"85240";"2"
"80";"80";"2024_06_04";"637";"38065";"1"
"81";"81";"2024_06_04";"694";"61337";"2"
"82";"82";"2024_06_04";"767";"37482";"0"
"83";"83";"2024_06_04";"227";"63814";"1"
"84";"84";"2024_06_04";"966";"88646";"0"
"85";"85";"2024_06_04";"560";"14394";"2"
"86";"86";"2024_06_04";"200";"45817";"0"
"87";"87";"2024_06_04";"596";"21181";"0"
