"item_id";"warehouse_place_id";"quantity_of_item";"days_until_end_storage"
"1";"1";"334";"247"
"2";"2";"657";"646"
"3";"3";"709";"649"
"4";"4";"639";"493"
"5";"5";"766";"107"
"6";"6";"250";"413"
"7";"7";"594";"652"
"8";"8";"433";"401"
"9";"9";"930";"539"
"10";"10";"545";"509"
"11";"11";"538";"444"
"12";"12";"321";"507"
"13";"13";"429";"940"
"14";"14";"805";"88"
"15";"15";"285";"85"
"16";"16";"853";"796"
"17";"17";"616";"347"
"18";"18";"16";"435"
"19";"19";"515";"3"
"20";"20";"783";"540"
"21";"21";"343";"701"
"22";"22";"312";"388"
"23";"23";"287";"80"
"24";"24";"792";"168"
"25";"25";"658";"899"
"26";"26";"420";"821"
"27";"27";"723";"419"
"28";"28";"13";"448"
"29";"29";"525";"190"
"30";"30";"290";"30"
"31";"31";"787";"479"
"32";"32";"547";"667"
"33";"33";"152";"746"
"34";"34";"289";"502"
"35";"35";"825";"173"
"36";"36";"959";"107"
"37";"37";"797";"895"
"38";"38";"390";"645"
"39";"39";"23";"71"
"40";"40";"864";"101"
"41";"41";"577";"123"
"42";"42";"542";"641"
"43";"43";"207";"394"
"44";"44";"365";"803"
"45";"45";"147";"953"
"46";"46";"542";"13"
"47";"47";"538";"215"
"48";"48";"385";"378"
"49";"49";"754";"418"
"50";"50";"662";"906"
"51";"51";"8";"565"
"52";"52";"874";"774"
"53";"53";"411";"523"
"54";"54";"742";"688"
"55";"55";"893";"472"
"56";"56";"971";"564"
"57";"57";"20";"438"
"58";"58";"14";"453"
"59";"59";"950";"477"
"60";"60";"53";"632"
"61";"61";"239";"929"
"62";"62";"101";"239"
"63";"63";"469";"644"
"64";"64";"834";"189"
"65";"65";"64";"86"
"66";"66";"527";"983"
"67";"67";"202";"348"
"68";"68";"565";"176"
"69";"69";"953";"471"
"70";"70";"637";"965"
"71";"71";"217";"550"
"72";"72";"177";"118"
"73";"73";"965";"672"
"74";"74";"498";"949"
"75";"75";"447";"580"
"76";"76";"917";"269"
"77";"77";"152";"520"
"78";"78";"45";"191"
"79";"79";"828";"519"
"80";"80";"781";"350"
"81";"81";"528";"108"
"82";"82";"990";"25"
"83";"83";"684";"664"
"84";"84";"16";"69"
"85";"85";"958";"853"
"86";"86";"939";"466"
"87";"87";"53";"452"
"88";"88";"250";"297"
"89";"89";"993";"298"
"90";"90";"915";"648"
"91";"91";"556";"66"
"92";"92";"300";"665"
"93";"93";"764";"881"
"94";"94";"636";"145"
"95";"95";"957";"274"
"96";"96";"830";"920"
"97";"97";"988";"773"
"98";"98";"197";"808"
"99";"99";"391";"25"
"100";"100";"391";"937"
"101";"101";"423";"437"
"102";"102";"119";"407"
"103";"103";"253";"828"
"104";"104";"246";"936"
"105";"105";"881";"120"
"106";"106";"315";"477"
"107";"107";"895";"575"
"108";"108";"835";"622"
"109";"109";"764";"604"
"110";"110";"721";"704"
"111";"111";"844";"640"
"112";"112";"590";"774"
"113";"113";"529";"151"
"114";"114";"290";"995"
"115";"115";"912";"537"
"116";"116";"742";"362"
"117";"117";"930";"132"
"118";"118";"609";"182"
"119";"119";"377";"550"
"120";"120";"36";"47"
"121";"121";"824";"546"
"122";"122";"656";"663"
"123";"123";"326";"100"
"124";"124";"827";"601"
"125";"125";"778";"636"
"126";"126";"517";"126"
"127";"127";"513";"735"
"128";"128";"467";"604"
"129";"129";"249";"317"
"130";"130";"366";"485"
"131";"131";"734";"481"
"132";"132";"546";"536"
"133";"133";"832";"948"
"134";"134";"747";"904"
"135";"135";"875";"405"
"136";"136";"926";"765"
"137";"137";"883";"11"
"138";"138";"885";"796"
"139";"139";"879";"229"
"140";"140";"139";"77"
"141";"141";"698";"835"
"142";"142";"217";"379"
"143";"143";"330";"305"
"144";"144";"928";"443"
"145";"145";"302";"931"
"146";"146";"57";"204"
"147";"147";"701";"792"
"148";"148";"397";"905"
"149";"149";"72";"676"
"150";"150";"21";"873"
"151";"151";"771";"889"
"152";"152";"567";"355"
"153";"153";"973";"918"
"154";"154";"699";"549"
"155";"155";"448";"826"
"156";"156";"159";"777"
"157";"157";"426";"530"
"158";"158";"646";"429"
"159";"159";"831";"545"
"160";"160";"155";"110"
"161";"161";"425";"943"
"162";"162";"877";"720"
"163";"163";"827";"498"
"164";"164";"816";"616"
"165";"165";"642";"339"
"166";"166";"924";"189"
"167";"167";"917";"383"
"168";"168";"883";"233"
"169";"169";"296";"851"
"170";"170";"758";"865"
"171";"171";"351";"771"
"172";"172";"278";"901"
"173";"173";"162";"905"
"174";"174";"220";"3"
"175";"175";"208";"251"
"176";"176";"432";"690"
"177";"177";"709";"904"
"178";"178";"258";"902"
"179";"179";"927";"793"
"180";"180";"897";"779"
"181";"181";"925";"551"
"182";"182";"688";"692"
"183";"183";"314";"571"
"184";"184";"283";"107"
"185";"185";"589";"866"
"186";"186";"832";"526"
"187";"187";"447";"779"
"188";"188";"742";"418"
"189";"189";"62";"724"
"190";"190";"198";"141"
"191";"191";"831";"266"
"192";"192";"922";"393"
"193";"193";"754";"387"
"194";"194";"681";"64"
"195";"195";"846";"945"
"196";"196";"805";"465"
"197";"197";"412";"208"
"198";"198";"800";"218"
"199";"199";"70";"197"
"200";"200";"480";"213"
"201";"201";"357";"456"
"202";"202";"367";"48"
"203";"203";"305";"693"
"204";"204";"91";"303"
"205";"205";"497";"539"
"206";"206";"742";"848"
"207";"207";"482";"227"
"208";"208";"119";"525"
"209";"209";"922";"670"
"210";"210";"454";"990"
"211";"211";"568";"793"
"212";"212";"782";"623"
"213";"213";"738";"649"
"214";"214";"650";"302"
"215";"215";"70";"313"
"216";"216";"187";"51"
"217";"217";"836";"262"
"218";"218";"17";"586"
"219";"219";"890";"726"
"220";"220";"599";"25"
"221";"221";"959";"154"
"222";"222";"357";"493"
"223";"223";"463";"515"
"224";"224";"844";"695"
"225";"225";"47";"596"
"226";"226";"338";"100"
"227";"227";"123";"910"
"228";"228";"355";"770"
"229";"229";"738";"15"
"230";"230";"464";"928"
"231";"231";"196";"772"
"232";"232";"558";"668"
"233";"233";"764";"30"
"234";"234";"55";"198"
"235";"235";"148";"164"
"236";"236";"294";"546"
"237";"237";"912";"794"
"238";"238";"266";"970"
"239";"239";"283";"834"
"240";"240";"544";"548"
"241";"241";"569";"760"
"242";"242";"759";"799"
"243";"243";"434";"276"
"244";"244";"519";"9"
"245";"245";"299";"385"
"246";"246";"143";"643"
"247";"247";"348";"594"
"248";"248";"618";"717"
"249";"249";"366";"646"
"250";"250";"943";"240"
"251";"251";"424";"314"
"252";"252";"34";"17"
"253";"253";"692";"909"
"254";"254";"792";"125"
"255";"255";"458";"888"
"256";"256";"131";"901"
"257";"257";"289";"570"
"258";"258";"792";"662"
"259";"259";"720";"534"
"260";"260";"229";"760"
"261";"261";"783";"828"
"262";"262";"423";"509"
"263";"263";"470";"392"
"264";"264";"418";"917"
"265";"265";"663";"413"
"266";"266";"116";"940"
"267";"267";"264";"710"
"268";"268";"137";"572"
"269";"269";"789";"733"
"270";"270";"687";"700"
"271";"271";"59";"368"
"272";"272";"943";"871"
"273";"273";"498";"225"
"274";"274";"487";"297"
"275";"275";"186";"753"
"276";"276";"356";"994"
"277";"277";"186";"767"
"278";"278";"844";"291"
"279";"279";"973";"673"
"280";"280";"899";"575"
"281";"281";"904";"158"
"282";"282";"194";"413"
"283";"283";"379";"28"
"284";"284";"368";"905"
"285";"285";"727";"963"
"286";"286";"299";"904"
"287";"287";"111";"663"
"288";"288";"402";"991"
"289";"289";"414";"423"
"290";"290";"247";"133"
"291";"291";"964";"398"
"292";"292";"570";"320"
"293";"293";"699";"495"
"294";"294";"55";"690"
"295";"295";"744";"416"
"296";"296";"455";"452"
"297";"297";"173";"733"
"298";"298";"424";"536"
"299";"299";"485";"262"
"300";"300";"713";"899"
"301";"301";"871";"683"
"302";"302";"552";"655"
"303";"303";"46";"883"
"304";"304";"215";"175"
"305";"305";"42";"799"
"306";"306";"95";"8"
"307";"307";"832";"294"
"308";"308";"563";"701"
"309";"309";"180";"399"
"310";"310";"946";"811"
"311";"311";"310";"801"
"312";"312";"346";"323"
"313";"313";"900";"544"
"314";"314";"421";"681"
"315";"315";"664";"484"
"316";"316";"496";"779"
"317";"317";"358";"579"
"318";"318";"927";"180"
"319";"319";"294";"96"
"320";"320";"700";"304"
"321";"321";"71";"139"
"322";"322";"416";"409"
"323";"323";"346";"828"
"324";"324";"664";"998"
"325";"325";"777";"972"
"326";"326";"605";"334"
"327";"327";"390";"359"
"328";"328";"286";"152"
"329";"329";"885";"804"
"330";"330";"522";"538"
"331";"331";"495";"43"
"332";"332";"702";"948"
"333";"333";"988";"135"
"334";"334";"422";"425"
"335";"335";"666";"266"
"336";"336";"377";"799"
"337";"337";"1";"101"
"338";"338";"810";"47"
"339";"339";"68";"285"
"340";"340";"991";"329"
"341";"341";"852";"693"
"342";"342";"640";"595"
"343";"343";"479";"216"
"344";"344";"632";"649"
"345";"345";"360";"746"
"346";"346";"415";"897"
"347";"347";"392";"698"
"348";"348";"12";"824"
"349";"349";"19";"109"
"350";"350";"251";"857"
"351";"351";"709";"319"
"352";"352";"882";"388"
"353";"353";"641";"24"
"354";"354";"307";"72"
"355";"355";"488";"194"
"356";"356";"772";"793"
"357";"357";"654";"294"
"358";"358";"50";"555"
"359";"359";"756";"723"
"360";"360";"161";"867"
"361";"361";"760";"956"
"362";"362";"45";"464"
"363";"363";"804";"735"
"364";"364";"480";"678"
"365";"365";"343";"243"
"366";"366";"394";"537"
"367";"367";"765";"828"
"368";"368";"661";"814"
"369";"369";"880";"457"
"370";"370";"990";"55"
"371";"371";"388";"913"
"372";"372";"181";"100"
"373";"373";"896";"39"
"374";"374";"702";"281"
"375";"375";"162";"970"
"376";"376";"257";"784"
"377";"377";"105";"68"
"378";"378";"321";"992"
"379";"379";"223";"463"
"380";"380";"151";"179"
"381";"381";"685";"96"
"382";"382";"310";"492"
"383";"383";"239";"300"
"384";"384";"750";"184"
"385";"385";"834";"262"
"386";"386";"586";"5"
"387";"387";"37";"597"
"388";"388";"1";"473"
"389";"389";"927";"3"
"390";"390";"988";"909"
"391";"391";"40";"827"
"392";"392";"907";"148"
"393";"393";"261";"102"
"394";"394";"236";"409"
"395";"395";"435";"820"
"396";"396";"783";"876"
"397";"397";"101";"898"
"398";"398";"289";"371"
"399";"399";"399";"550"
"400";"400";"826";"224"
"401";"401";"275";"578"
"402";"402";"344";"677"
"403";"403";"771";"37"
"404";"404";"47";"802"
"405";"405";"297";"822"
"406";"406";"512";"228"
"407";"407";"665";"835"
"408";"408";"716";"558"
"409";"409";"759";"325"
"410";"410";"972";"74"
"411";"411";"974";"935"
"412";"412";"41";"166"
"413";"413";"186";"305"
"414";"414";"525";"76"
"415";"415";"544";"622"
"416";"416";"768";"131"
"417";"417";"164";"748"
"418";"418";"336";"861"
"419";"419";"875";"502"
"420";"420";"399";"807"
"421";"421";"916";"748"
"422";"422";"819";"131"
"423";"423";"721";"272"
"424";"424";"827";"142"
"425";"425";"772";"827"
"426";"426";"63";"267"
"427";"427";"503";"632"
"428";"428";"412";"312"
"429";"429";"280";"7"
"430";"430";"152";"736"
"431";"431";"541";"447"
"432";"432";"675";"356"
"433";"433";"191";"526"
"434";"434";"679";"273"
"435";"435";"998";"507"
"436";"436";"774";"362"
"437";"437";"971";"704"
"438";"438";"663";"777"
"439";"439";"295";"171"
"440";"440";"731";"238"
"441";"441";"330";"777"
"442";"442";"725";"391"
"443";"443";"561";"602"
"444";"444";"488";"694"
"445";"445";"312";"659"
"446";"446";"844";"120"
"447";"447";"698";"97"
"448";"448";"676";"715"
"449";"449";"730";"56"
"450";"450";"953";"814"
"451";"451";"279";"33"
"452";"452";"982";"35"
"453";"453";"388";"230"
"454";"454";"632";"341"
"455";"455";"931";"102"
"456";"456";"815";"796"
"457";"457";"742";"608"
"458";"458";"200";"524"
"459";"459";"493";"115"
"460";"460";"502";"999"
"461";"461";"623";"360"
"462";"462";"844";"976"
"463";"463";"558";"761"
"464";"464";"384";"751"
"465";"465";"169";"890"
"466";"466";"167";"118"
"467";"467";"912";"457"
"468";"468";"164";"986"
"469";"469";"172";"136"
"470";"470";"108";"126"
"471";"471";"630";"294"
"472";"472";"633";"643"
"473";"473";"846";"17"
"474";"474";"509";"831"
"475";"475";"650";"606"
"476";"476";"829";"695"
"477";"477";"601";"173"
"478";"478";"431";"198"
"479";"479";"873";"518"
"480";"480";"608";"452"
"481";"481";"692";"736"
"482";"482";"390";"821"
"483";"483";"934";"173"
"484";"484";"981";"653"
"485";"485";"544";"28"
"486";"486";"38";"916"
"487";"487";"641";"179"
"488";"488";"132";"747"
"489";"489";"411";"27"
"490";"490";"86";"440"
"491";"491";"711";"203"
"492";"492";"477";"401"
"493";"493";"617";"996"
"494";"494";"67";"25"
"495";"495";"215";"826"
"496";"496";"438";"341"
"497";"497";"190";"599"
"498";"498";"637";"287"
"499";"499";"993";"669"
"500";"500";"485";"703"
"501";"501";"405";"505"
"502";"502";"352";"344"
"503";"503";"403";"128"
"504";"504";"660";"839"
"505";"505";"869";"813"
"506";"506";"38";"326"
"507";"507";"344";"585"
"508";"508";"236";"370"
"509";"509";"64";"367"
"510";"510";"442";"226"
"511";"511";"11";"15"
"512";"512";"323";"123"
"513";"513";"742";"354"
