"order_ID";"menu_item_ID";"quantity"
"1";"1";"67"
"2";"2";"48"
"3";"3";"38"
"4";"4";"18"
"5";"5";"56"
"6";"6";"21"
"7";"7";"53"
"8";"8";"20"
"9";"9";"40"
"10";"10";"96"
"11";"11";"10"
"12";"12";"79"
"13";"13";"67"
"14";"14";"82"
"15";"15";"12"
"16";"16";"62"
"17";"17";"31"
"18";"18";"72"
"19";"19";"27"
"20";"20";"31"
"21";"21";"41"
"22";"22";"90"
"23";"23";"72"
"24";"24";"88"
"25";"25";"12"
"26";"26";"52"
"27";"27";"35"
"28";"28";"8"
"29";"29";"51"
"30";"30";"1"
"31";"31";"36"
"32";"32";"50"
"33";"33";"18"
"34";"34";"96"
"35";"35";"58"
"36";"36";"59"
"37";"37";"60"
"38";"38";"84"
"39";"39";"76"
"40";"40";"52"
"41";"41";"93"
"42";"42";"17"
"43";"43";"60"
"44";"44";"100"
"45";"45";"59"
"46";"46";"21"
"47";"47";"61"
"48";"48";"36"
"49";"49";"69"
"50";"50";"65"
"51";"51";"15"
"52";"52";"86"
"53";"53";"6"
"54";"54";"12"
"55";"55";"97"
"56";"56";"19"
"57";"57";"3"
"58";"58";"74"
"59";"59";"15"
"60";"60";"42"
"61";"61";"62"
"62";"62";"16"
"63";"63";"20"
"64";"64";"64"
"65";"65";"60"
"66";"66";"53"
"67";"67";"13"
"68";"68";"41"
"69";"69";"4"
"70";"70";"98"
"71";"71";"85"
"72";"72";"31"
"73";"73";"48"
"74";"74";"53"
"75";"75";"85"
"76";"76";"20"
"77";"77";"53"
"78";"78";"77"
"79";"79";"56"
"80";"80";"80"
"81";"81";"61"
"82";"82";"44"
"83";"83";"83"
"84";"84";"76"
"85";"85";"20"
"86";"86";"88"
"87";"87";"48"
"88";"88";"77"
"89";"89";"83"
"90";"90";"71"
"91";"91";"35"
"92";"92";"0"
"93";"93";"46"
"94";"94";"62"
"95";"95";"54"
"96";"96";"57"
"97";"97";"98"
"98";"98";"97"
"99";"99";"89"
"100";"100";"3"
"101";"101";"42"
"102";"102";"62"
"103";"103";"17"
"104";"104";"73"
"105";"105";"91"
"106";"106";"59"
"107";"107";"34"
"108";"108";"11"
"109";"109";"92"
"110";"110";"31"
"111";"111";"92"
"112";"112";"68"
"113";"113";"57"
"114";"114";"28"
"115";"115";"18"
"116";"116";"20"
"117";"117";"73"
"118";"118";"80"
"119";"119";"36"
"120";"120";"7"
"121";"121";"20"
"122";"122";"6"
"123";"123";"69"
"124";"124";"55"
"125";"125";"4"
"126";"126";"66"
"127";"127";"14"
"128";"128";"0"
"129";"129";"89"
"130";"130";"83"
"131";"131";"15"
"132";"132";"69"
"133";"133";"88"
"134";"134";"93"
"135";"135";"29"
"136";"136";"30"
"137";"137";"70"
"138";"138";"13"
"139";"139";"42"
"140";"140";"31"
"141";"141";"24"
"142";"142";"54"
"143";"143";"62"
"144";"144";"66"
"145";"145";"82"
"146";"146";"27"
"147";"147";"62"
"148";"148";"23"
"149";"149";"36"
"150";"150";"92"
"151";"151";"93"
"152";"152";"44"
"153";"153";"18"
"154";"154";"78"
"155";"155";"74"
"156";"156";"7"
"157";"157";"81"
"158";"158";"28"
"159";"159";"77"
"160";"160";"41"
"161";"161";"5"
"162";"162";"5"
"163";"163";"71"
"164";"164";"49"
"165";"165";"58"
"166";"166";"46"
"167";"167";"27"
"168";"168";"45"
"169";"169";"47"
"170";"170";"57"
"171";"171";"88"
"172";"172";"69"
"173";"173";"51"
"174";"174";"78"
"175";"175";"10"
"176";"176";"71"
"177";"177";"19"
"178";"178";"99"
"179";"179";"81"
"180";"180";"49"
"181";"181";"7"
"182";"182";"10"
"183";"183";"57"
"184";"184";"59"
"185";"185";"10"
"186";"186";"72"
"187";"187";"13"
"188";"188";"65"
"189";"189";"1"
"190";"190";"48"
"191";"191";"78"
"192";"192";"32"
"193";"193";"59"
"194";"194";"25"
"195";"195";"27"
"196";"196";"19"
"197";"197";"42"
"198";"198";"90"
"199";"199";"81"
"200";"200";"21"
"201";"201";"7"
"202";"202";"12"
"203";"203";"0"
"204";"204";"13"
"205";"205";"95"
"206";"206";"48"
"207";"207";"71"
"208";"208";"52"
"209";"209";"100"
"210";"210";"15"
"211";"211";"84"
"212";"212";"25"
"213";"213";"23"
"214";"214";"29"
"215";"215";"47"
"216";"216";"58"
"217";"217";"42"
