name;capacity;storage_conditions_ID
1;1;7
2;2;5
3;3;0
4;4;7
5;5;4
6;6;3
7;7;0
8;8;10
9;9;6
10;10;2
11;11;7
12;12;2
13;13;0
14;14;2
15;15;9
16;16;9
17;17;1
18;18;6
19;19;10
20;20;4
21;21;0
22;22;0
23;23;7
24;24;5
25;25;3
26;26;6
27;27;1
28;28;3
29;29;9
30;30;1
31;31;9
32;32;1
33;33;6
34;34;6
35;35;0
36;36;2
37;37;8
38;38;8
39;39;9
40;40;3
41;41;5
42;42;5
43;43;8
44;44;9
45;45;8
46;46;8
47;47;8
48;48;1
49;49;10
50;50;2
51;51;4
52;52;3
53;53;9
54;54;0
55;55;4
56;56;3
57;57;10
58;58;3
59;59;4
60;60;3
61;61;9
62;62;6
63;63;1
64;64;6
65;65;2
66;66;2
67;67;5
68;68;1
69;69;2
70;70;10
71;71;9
72;72;5
73;73;2
74;74;9
75;75;8
76;76;5
77;77;1
78;78;7
79;79;9
80;80;10
81;81;10
82;82;5
83;83;9
84;84;1
85;85;5
86;86;7
87;87;3
88;88;0
89;89;2
90;90;6
91;91;0
92;92;4
93;93;5
94;94;8
95;95;9
96;96;3
97;97;2
98;98;4
99;99;9
100;100;7
101;101;7
102;102;5
103;103;2
104;104;1
105;105;6
106;106;4
107;107;9
108;108;3
109;109;8
110;110;4
111;111;7
112;112;9
113;113;10
114;114;4
115;115;3
116;116;5
117;117;0
118;118;0
119;119;3
120;120;6
121;121;10
122;122;5
123;123;1
124;124;4
125;125;8
126;126;6
127;127;10
128;128;3
129;129;5
130;130;6
131;131;2
132;132;10
133;133;8
134;134;9
135;135;8
136;136;8
137;137;6
138;138;8
139;139;0
140;140;9
141;141;9
142;142;1
143;143;9
144;144;2
145;145;5
146;146;0
147;147;3
148;148;4
149;149;10
150;150;4
151;151;8
152;152;5
153;153;0
154;154;0
155;155;6
156;156;9
157;157;4
158;158;3
159;159;3
160;160;1
161;161;9
162;162;8
163;163;9
164;164;6
165;165;4
166;166;9
167;167;6
168;168;6
169;169;2
170;170;9
171;171;2
172;172;4
173;173;8
174;174;0
175;175;10
176;176;5
177;177;4
178;178;9
179;179;4
180;180;7
181;181;0
182;182;9
183;183;10
184;184;4
185;185;7
186;186;2
187;187;5
188;188;3
189;189;10
190;190;7
191;191;3
192;192;1
193;193;1
194;194;5
195;195;8
196;196;5
197;197;8
198;198;7
199;199;0
200;200;10
201;201;8
202;202;8
203;203;2
204;204;4
205;205;6
206;206;8
207;207;10
208;208;7
209;209;7
210;210;0
211;211;7
212;212;9
213;213;6
214;214;10
215;215;7
216;216;0
217;217;8
218;218;5
219;219;7
220;220;8
221;221;4
222;222;8
223;223;7
224;224;2
225;225;3
226;226;0
227;227;4
228;228;5
229;229;5
230;230;8
231;231;6
232;232;4
233;233;6
234;234;9
235;235;6
236;236;2
237;237;5
238;238;10
239;239;9
240;240;1
241;241;8
242;242;10
243;243;6
244;244;7
245;245;8
246;246;1
247;247;3
248;248;9
249;249;9
250;250;4
251;251;4
252;252;7
253;253;1
254;254;4
255;255;5
256;256;4
257;257;1
258;258;4
259;259;0
260;260;1
261;261;1
262;262;10
263;263;0
264;264;6
265;265;4
266;266;8
267;267;10
268;268;4
269;269;6
270;270;4
271;271;9
272;272;2
273;273;4
274;274;10
275;275;0
276;276;2
277;277;0
278;278;7
279;279;4
280;280;10
281;281;3
282;282;5
283;283;3
284;284;2
285;285;7
286;286;4
287;287;5
288;288;8
289;289;5
290;290;4
291;291;5
292;292;0
293;293;2
294;294;7
295;295;4
296;296;3
297;297;10
298;298;0
299;299;3
300;300;2
301;301;6
302;302;1
303;303;8
304;304;6
305;305;4
306;306;9
307;307;10
308;308;1
309;309;2
310;310;9
311;311;7
312;312;3
313;313;3
314;314;10
315;315;9
316;316;2
317;317;10
318;318;9
319;319;10
320;320;1
321;321;10
322;322;9
323;323;2
324;324;1
325;325;9
326;326;3
327;327;0
328;328;9
329;329;2
330;330;7
331;331;1
332;332;2
333;333;1
334;334;6
335;335;2
336;336;7
337;337;5
338;338;10
339;339;7
340;340;8
341;341;1
342;342;9
343;343;5
344;344;8
345;345;0
346;346;0
347;347;2
348;348;9
349;349;0
350;350;6
351;351;5
352;352;3
353;353;8
354;354;1
355;355;4
356;356;9
357;357;6
358;358;3
359;359;10
360;360;4
361;361;8
362;362;4
363;363;10
364;364;3
365;365;0
366;366;4
367;367;6
368;368;3
369;369;4
370;370;10
371;371;9
372;372;9
373;373;6
374;374;2
375;375;2
376;376;2
377;377;10
378;378;9
379;379;8
380;380;9
381;381;10
382;382;1
383;383;3
384;384;5
385;385;0
386;386;8
387;387;7
388;388;6
389;389;3
390;390;6
391;391;5
392;392;3
393;393;3
394;394;4
395;395;4
396;396;5
397;397;7
398;398;0
399;399;7
400;400;7
401;401;7
402;402;5
403;403;3
404;404;1
405;405;6
406;406;2
407;407;8
408;408;6
409;409;4
410;410;6
411;411;9
412;412;10
413;413;1
414;414;6
415;415;3
416;416;8
417;417;9
418;418;6
419;419;9
420;420;10
421;421;3
422;422;7
423;423;7
424;424;7
425;425;2
426;426;9
427;427;7
428;428;9
429;429;1
430;430;5
431;431;0
432;432;0
433;433;3
434;434;4
435;435;7
436;436;3
437;437;6
438;438;8
439;439;1
440;440;7
441;441;1
442;442;7
443;443;4
444;444;1
445;445;7
446;446;7
447;447;6
448;448;5
449;449;0
450;450;8
451;451;2
452;452;9
453;453;1
454;454;2
455;455;10
456;456;8
457;457;0
458;458;8
459;459;10
460;460;4
461;461;4
462;462;7
463;463;2
464;464;3
465;465;2
466;466;8
467;467;8
468;468;1
469;469;5
470;470;9
471;471;6
472;472;4
473;473;0
474;474;2
475;475;6
476;476;10
477;477;1
478;478;9
479;479;6
480;480;0
481;481;8
482;482;3
483;483;9
484;484;3
485;485;1
486;486;10
487;487;5
488;488;8
489;489;10
490;490;3
491;491;9
492;492;8
493;493;3
494;494;3
495;495;5
496;496;3
497;497;10
498;498;8
499;499;9
500;500;3
501;501;5
502;502;8
503;503;10
504;504;7
505;505;3
506;506;8
507;507;10
508;508;10
509;509;2
510;510;4
511;511;10
512;512;10
513;513;3
514;514;1
515;515;10
516;516;1
517;517;0
518;518;2
519;519;6
520;520;6
521;521;7
522;522;0
523;523;2
524;524;8
525;525;2
526;526;6
527;527;4
528;528;2
529;529;6
530;530;3
531;531;10
532;532;9
533;533;1
534;534;9
535;535;8
536;536;6
537;537;0
538;538;8
539;539;10
540;540;9
541;541;9
542;542;1
543;543;10
544;544;3
545;545;2
546;546;10
547;547;7
548;548;3
549;549;0
550;550;1
551;551;0
552;552;3
553;553;2
554;554;8
555;555;4
556;556;3
557;557;5
558;558;3
559;559;9
560;560;5
561;561;5
562;562;1
563;563;9
564;564;5
565;565;7
566;566;2
567;567;8
568;568;4
569;569;7
570;570;4
571;571;0
572;572;1
573;573;10
574;574;7
575;575;4
576;576;3
577;577;4
578;578;5
579;579;6
580;580;10
581;581;4
582;582;1
583;583;6
584;584;10
585;585;9
586;586;10
587;587;9
588;588;0
589;589;9
590;590;3
591;591;2
592;592;4
593;593;8
594;594;9
595;595;8
596;596;7
597;597;10
598;598;3
599;599;8
600;600;2
601;601;9
602;602;9
603;603;4
604;604;5
605;605;1
606;606;4
607;607;7
