money_spent;client_ID;lvl_ID
247830;1;1
247831;2;2
247832;3;3
247833;4;4
247834;5;5
247835;6;6
247836;7;1
247837;8;2
247838;9;3
247839;10;4
247840;11;5
247841;12;6
247842;13;1
247843;14;2
247844;15;3
247845;16;4
247846;17;5
247847;18;6
247848;19;1
247849;20;2
247850;21;1
247851;22;2
247852;23;3
247853;24;4
247854;25;5
247855;26;6
247856;27;1
247857;28;2
247858;29;3
247859;30;4
247860;31;5
247861;32;6
247862;33;1
247863;34;2
247864;35;1
247865;36;2
247866;37;3
247867;38;4
247868;39;5
247869;40;6
247870;41;1
247871;42;2
247872;43;3
247873;44;4
247874;45;5
247875;46;6
247876;47;1
247877;48;2
247878;49;1
247879;50;2
247880;51;3
247881;52;4
247882;53;5
247883;54;6
247884;55;1
247885;56;2
247886;57;3
247887;58;4
247888;59;5
247889;60;6
247890;61;1
247891;62;2
247892;63;1
247893;64;2
247894;65;3
247895;66;4
247896;67;5
247897;68;6
247898;69;1
247899;70;2
247900;71;3
247901;72;4
247902;73;5
247903;74;6
247904;75;1
247905;76;2
247906;77;1
247907;78;2
247908;79;3
247909;80;4
247910;81;5
247911;82;6
247912;83;1
247913;84;2
247914;85;3
247915;86;4
247916;87;5
247917;88;6
247918;89;1
247919;90;2
247920;91;1
247921;92;2
247922;93;3
247923;94;4
247924;95;5
247925;96;6
247926;97;1
247927;98;2
247928;99;3
247929;100;4
247930;101;5
247931;102;6
247932;103;1
247933;104;2
247934;105;1
247935;106;2
247936;107;3
247937;108;4
247938;109;5
247939;110;6
247940;111;1
247941;112;2
247942;113;3
247943;114;4
247944;115;5
247945;116;6
247946;117;1
247947;118;2
247948;119;1
247949;120;2
247950;121;3
247951;122;4
247952;123;5
247953;124;6
247954;125;1
247955;126;2
247956;127;3
247957;128;4
247958;129;5
247959;130;6
247960;131;1
247961;132;2
247962;133;1
247963;134;2
247964;135;3
247965;136;4
247966;137;5
247967;138;6
247968;139;1
247969;140;2
247970;141;3
247971;142;4
247972;143;5
247973;144;6
247974;145;1
247975;146;2
247976;147;1
247977;148;2
247978;149;3
247979;150;4
247980;151;5
247981;152;6
247982;153;1
247983;154;2
247984;155;3
247985;156;4
247986;157;5
247987;158;6
247988;159;1
247989;160;2
247990;161;1
247991;162;2
247992;163;3
247993;164;4
247994;165;5
247995;166;6
247996;167;1
247997;168;2
247998;169;3
247999;170;4
248000;171;5
248001;172;6
248002;173;1
248003;174;2
248004;175;1
248005;176;2
248006;177;3
248007;178;4
248008;179;5
248009;180;6
248010;181;1
248011;182;2
248012;183;3
248013;184;4
248014;185;5
248015;186;6
248016;187;1
248017;188;2
248018;189;1
248019;190;2
248020;191;3
248021;192;4
248022;193;5
248023;194;6
248024;195;1
248025;196;2
248026;197;3
248027;198;4
248028;199;5
248029;200;6
248030;201;1
248031;202;2
248032;203;1
248033;204;2
248034;205;3
248035;206;4
248036;207;5
248037;208;6
248038;209;1
248039;210;2
248040;211;3
248041;212;4
248042;213;5
248043;214;6
248044;215;1
248045;216;2
248046;217;1
248047;218;2
248048;219;3
248049;220;4
248050;221;5
248051;222;6
248052;223;1
248053;224;2
248054;225;3
248055;226;4
248056;227;5
248057;228;6
248058;229;1
248059;230;2
248060;231;1
248061;232;2
248062;233;3
248063;234;4
248064;235;5
248065;236;6
248066;237;1
248067;238;2
248068;239;3
248069;240;4
248070;241;5
248071;242;6
248072;243;1
248073;244;2
248074;245;1
248075;246;2
248076;247;3
248077;248;4
248078;249;5
248079;250;6
248080;251;1
248081;252;2
248082;253;3
248083;254;4
248084;255;5
248085;256;6
248086;257;1
248087;258;2
248088;259;1
248089;260;2
248090;261;3
248091;262;4
248092;263;5
248093;264;6
248094;265;1
248095;266;2
248096;267;3
248097;268;4
248098;269;5
248099;270;6
248100;271;1
248101;272;2
248102;273;1
248103;274;2
248104;275;3
248105;276;4
248106;277;5
248107;278;6
248108;279;1
248109;280;2
248110;281;3
248111;282;4
248112;283;5
248113;284;6
248114;285;1
248115;286;2
248116;287;1
248117;288;2
248118;289;3
248119;290;4
248120;291;5
248121;292;6
248122;293;1
248123;294;2
248124;295;3
248125;296;4
248126;297;5
248127;298;6
248128;299;1
248129;300;2
248130;301;1
248131;302;2
248132;303;3
248133;304;4
248134;305;5
248135;306;6
248136;307;1
248137;308;2
248138;309;3
248139;310;4
248140;311;5
248141;312;6
248142;313;1
248143;314;2
248144;315;1
248145;316;2
248146;317;3
248147;318;4
248148;319;5
