name;characteristics;volume;price;storage_condititon_ID;shell_life_in_days;supplier;item_type_ID
1;s;5;92670;10;707;Schneider - Gleichner;8
2;t;24;86240;8;382;Grimes Inc;2
3;g;6;46210;10;323;Haley - Franecki;4
4;h;17;13133;9;159;Wolff, Johns and Yost;0
5;9;18;78298;2;427;Harber - Bayer;3
6;u;1;26517;10;550;Doyle, Kub and Herzog;1
7;g;1;89046;10;579;Balistreri, Rodriguez and Cassin;4
8;b;0;49673;7;159;Schinner - Balistreri;4
9;X;21;34907;0;682;Wiegand LLC;5
10;9;23;27206;3;856;Glover, Rippin and Stroman;10
11;i;28;21022;10;395;Rice, Bailey and Metz;3
12;M;29;5839;10;810;Goyette - Schinner;8
13;L;18;2368;10;474;Champlin, D'Amore and Schamberger;4
14;f;18;35937;10;840;McGlynn, Hills and Tromp;8
15;s;19;86224;3;621;Quigley, Ritchie and Bailey;10
16;B;6;60394;6;449;Rau - Grimes;7
17;h;25;51007;7;434;Metz, Smitham and Brakus;4
18;B;10;68676;6;60;Mitchell, Auer and Gutmann;7
19;X;27;74099;4;988;Ziemann Group;9
20;n;9;16667;3;874;Murray and Sons;5
21;s;10;27911;9;462;Parisian LLC;2
22;i;14;67385;3;871;Feil - Graham;8
23;z;30;76395;3;535;Stehr - Brown;4
24;O;27;24327;7;333;Daniel - Osinski;5
25;v;20;22878;5;742;Runolfsdottir Group;4
26;3;18;98618;8;447;Bashirian - Kohler;3
27;1;25;38580;0;415;Hahn LLC;2
28;r;24;78411;4;138;Hudson, White and Auer;4
29;);25;80050;9;968;Reinger, Schroeder and Gutmann;10
30;#;20;51718;0;769;Streich Group;7
31;t;1;28687;3;110;Greenfelder LLC;8
32;B;19;96202;7;794;Cormier - Schultz;4
33;A;30;36492;5;928;Nader - Schmidt;6
34;v;29;6158;7;402;Boyer, Willms and Bahringer;5
35;K;8;58999;3;646;Spencer, Bradtke and Kuhic;6
36;w;14;12234;7;840;West, Kerluke and Hermiston;5
37;z;6;63560;5;816;Wisozk Group;8
38;%;0;12477;4;839;Haag Inc;2
39;8;30;53643;8;718;Franecki - Hartmann;7
40;K;25;53838;5;867;Nicolas - Green;8
41;o;1;62940;0;593;Hilpert, Jerde and Durgan;0
42;*;26;39429;3;945;Pacocha, Hickle and Greenholt;2
43;D;16;60040;5;760;Kreiger and Sons;0
44;I;29;21598;5;679;Vandervort and Sons;4
45;D;8;52291;6;984;Becker and Sons;8
46;3;12;8220;5;474;Brekke, White and Willms;2
47;U;13;48101;6;679;Moore - Emard;1
48;C;26;59932;10;761;Upton - Davis;5
49;h;0;91666;1;433;Effertz Group;1
50;G;17;46853;3;117;Blick, Grimes and Windler;1
51;n;7;7810;8;342;Mohr and Sons;6
52;o;29;32248;6;283;Denesik and Sons;4
53;O;6;42954;9;666;Cormier - Reynolds;9
